orderid,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
468,2009-04-23,253,85.9,HD3G5,4,2009-04-23
499,2009-04-30,253,102.09,EJKBT,4,2009-04-30
528,2009-05-05,253,53.73,%%528,4,2009-05-05
533,2009-05-07,253,78.98,%%533,3,2009-05-07
563,2009-05-12,253,81.41,J2SPA,4,2009-05-12
606,2009-05-20,253,40.97,FT5V7,4,2009-05-21
613,2009-05-21,253,59.61,YWH23,4,2009-05-21
636,2009-05-26,253,104.19,Z4ARW,4,2009-05-26
680,2009-06-04,253,91.58,LHMJE,5,2009-06-05
681,2009-06-04,253,13.27,CJFXQ,5,2009-06-05
696,2009-06-09,253,25.33,49C7Q,3,2009-06-09
736,2009-06-16,253,141.65,FMXXY,4,2009-06-16
762,2009-06-19,253,38.99,ZVMV5,5,2009-06-19
785,2009-06-25,253,105.84,BRHGR,4,2009-06-25
791,2009-06-26,253,36.05,2J6HL,5,2009-06-26
826,2009-07-02,253,68.47,M7MKC,6,2009-07-02
844,2009-07-07,253,167.73,LDMDP,3,2009-07-07
896,2009-07-14,253,243.92,4TWU6,4,2009-07-14
930,2009-07-21,253,67.33,GGTHH,4,2009-07-21
939,2009-07-23,253,78.3,RCAUB,6,2009-07-23
991,2009-07-31,253,73.45,7MU9B,5,2009-07-31
1004,2009-08-04,253,112.51,AEPLY,4,2009-08-04
1044,2009-08-11,253,275.94,KV7M2,4,2009-08-11
1065,2009-08-17,253,93.54,QQECQ,4,2009-08-18
1072,2009-08-18,253,8.55,4M6FH,4,2009-08-18
1121,2009-08-25,253,117.28,W499U,3,2009-08-25
1163,2009-09-01,253,133.15,TMDA6,3,2009-09-01
1164,2009-09-01,253,15.1,FQNRH,3,2009-09-01
1211,2009-09-08,253,77.84,4LWYX,3,2009-09-08
1249,2009-09-15,253,120.71,FSRRY,3,2009-09-15
1295,2009-09-23,253,183.56,XH7S2,6,2009-09-24
1306,2009-09-24,253,12.89,D69ZH,6,2009-09-24
1326,2009-09-29,253,64.67,RDVP5,3,2009-09-29
1381,2009-10-08,253,193.02,JDKYJ,6,2009-10-08
1419,2009-10-14,253,136.45,73SV2,6,2009-10-15
1429,2009-10-15,253,23.74,AMQFX,6,2009-10-15
1594,2009-11-03,253,141.14,LFS67,3,2009-11-03
1622,2009-11-05,253,33.35,DJEBJ,5,2009-11-06
1749,2009-11-12,253,58.25,NTZMY,15,2009-11-13
1944,2009-12-04,253,184.13,8A7CG,5,2009-12-04
1998,2009-12-09,253,82.7,UKJ9G,9,2009-12-09
2022,2009-12-11,253,14.99,GA4BG,5,2009-12-11
