book_title,book_author,book_translator,book_pub_date,book_isbn
드림팀의 악몽: 산으로 가는 팀 프로젝트를 바로잡는 애자일 코칭법,포샤 텅 ,김광호 ,2014-05-16,9788968480973
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 ",2013-07-01,576 쪽,4024
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,2015-02-16,520 쪽,4150
멀티 디바이스 UX 디자인 : 사물인터넷 생태계 경험을 지배하는 3가지 핵심 원리,미할 레빈 ,이미령 ,2014-11-12,9788968481307
"Blog2Book, 프로젝트 관리자PM를 위한 프로젝트 관리 이야기",신진현 ,2015-02-27,204 쪽,2104
"뇌를 자극하는 SQL Server 2012 (1권, 기본편)",우재남 ,2013-02-13,668 쪽,1992
"잰양, 티백, 앤하우스의 디자인문구 다락방","류재은 , 김신애 , 장보경 ",2010-08-26,240 쪽,1764
회사에서 바로 통하는 엑셀 2010,한은숙 ,2011-03-23,548 쪽,1786
PHP 보안: 몇 줄의 코드로 안전하게,크리스 쉬플릿 ,한동훈 ,2006-03-07,8979143877
오래가는 UX 디자인: 모바일 시대의 제품 디자인 기본 원칙,반준철 ,2013-01-24,468 쪽,1998
"IT CookBook, HTML & CSS for Beginner",황재호 ,2016-11-10,472 쪽,4279
"뇌를 자극하는 SQL Server 2012 (2권, 관리/응용편)",우재남 ,2014-04-28,896 쪽,2078
"IT CookBook, 엑셀과 파워포인트 2007 실무와 활용","한은숙 , 고경희 ",2013-03-12,640 쪽,4009
"Blog2Book, 자바 개발자도 쉽고 즐겁게 배우는 테스팅 이야기",이상민 ,2009-12-09,404 쪽,1712
누워서 읽는 퍼즐북 : 뉴욕의 프로그래머 임백준의 퍼즐이야기,임백준 ,2010-01-15,308 쪽,1719
사전처럼 바로 찾아 쓰는 알고리즘,"조지 T. 하인만 , 게리 폴리케 , 스탠리 셀코 ",전경원 ,2010-03-08,9788979147292
"IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008",손광수 ,2013-07-02,584 쪽,4046
"IT CookBook, 데이터베이스 개론",김연희 ,2013-07-03,524 쪽,4025
린 스타트업 실전 UX: 더 빠르고 스마트하게 일하는 린 UX 실행 전략,로라 클라인 ,"김수영 , 박기석 ",2014-09-28,9788968481086
"IT CookBook, 쉽게 배우는 알고리즘 : 관계 중심의 사고법",문병로 ,2013-07-02,460 쪽,4040
린 UX : 린과 애자일 그리고 진화하는 사용자 경험,"제프 고델프 , 조시 세이던 ",김수영 ,2013-10-25,9788968480485
모던 웹을 위한 실시간 사용자 경험(UX) 프로그래밍: 웹사이트에 인터랙티브를 더하는 마술,테드 로덴 ,백기선 ,2012-05-04,9788979149159
"Blog2Book, 프로젝트 성패를 결정짓는 데이터 모델링 이야기",김상래 ,2015-09-17,248 쪽,2221
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ","한동환 , 김기평 ",2014-09-12,9788968481154
디자인 굿즈 만들기 with 포토샵&일러스트레이터,김신애 ,2016-11-01,392 쪽,2476
"IT CookBook, 컴퓨터 실습 : 윈도우 XP, 한글 2007, 엑셀 2007, 파워포인트 2007","김주영 , 정영준 ",2013-03-20,572 쪽,4018
자바 퍼즐러 : 세상에서 가장 재미있는 자바 책,"조슈아 블로크 , 닐 개프터 ",윤인성 ,2014-12-27,9788968481444
"Blog2Book, 자바 개발자와 시스템 운영자를 위한 트러블 슈팅 이야기",이상민 ,2011-06-03,416 쪽,1830
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연 ,2015-12-28,504 쪽,4240
"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,2014-11-28,152 쪽,4140
"IT CookBook, 파워포인트 2010 실무와 활용",고경희 ,2014-02-24,448 쪽,4094
